name,cz,HouseholdIncomeOutcome,Census_Response_Rate_Social_Capital_Proxy,IncarcerationRate,Median_Hhold._Income_of_Residents_in_2012-16,CollegeGradRate,HighSchoolGradRate,EmploymentRate,Poverty_Rate_in_2012-16,Fraction_College_Graduates_in_2012-16
"Bonners Ferry, ID_RaceWhite",cz34501_RaceWhite,46941.0,79.76,0.0093,38726,0.2856,0.8429,0.7299,0.1658,0.1753
"Bonners Ferry, ID_RaceHispanic",cz34501_RaceHispanic,42012.0,79.76,0.0012,38726,0,0,0.8454,0.1658,0.1753
"Bonners Ferry, ID_RaceNativeAmerican",cz34501_RaceNativeAmerican,0,79.76,0,38726,0,0,0,0.1658,0.1753
"Somerset, KY & TN_RaceAsian",cz4602_RaceAsian,34214.0,79.29,0.018,31054,0.2561,0.856,0.6981,0.278,0.1168
"Somerset, KY & TN_RaceBlack",cz4602_RaceBlack,25135.0,79.29,0.0307,31054,0,0,0.6395,0.278,0.1168
"Somerset, KY & TN_RaceWhite",cz4602_RaceWhite,35182.0,79.29,0.0178,31054,0.2529,0.8584,0.7057,0.278,0.1168
"Somerset, KY & TN_RaceHispanic",cz4602_RaceHispanic,30339.0,79.29,0.0183,31054,0,0,0.7812,0.278,0.1168
"Somerset, KY & TN_RaceNativeAmerican",cz4602_RaceNativeAmerican,0,79.29,0,31054,0,0,0,0.278,0.1168
"Winchester, VA & WV_RaceAsian",cz17502_RaceAsian,45587.0,79.75,0.0159,59709,0.3555,0.8626,0.7933,0.0993,0.2651
"Winchester, VA & WV_RaceBlack",cz17502_RaceBlack,31381.0,79.75,0.0716,59709,0.2307,0.7367,0.8177,0.0993,0.2651
"Winchester, VA & WV_RaceWhite",cz17502_RaceWhite,47710.0,79.75,0.0137,59709,0.3529,0.8676,0.8,0.0993,0.2651
"Winchester, VA & WV_RaceHispanic",cz17502_RaceHispanic,37244.0,79.75,0.0067,59709,0.5843,0.8673,0.7831,0.0993,0.2651
"Winchester, VA & WV_RaceNativeAmerican",cz17502_RaceNativeAmerican,0,79.75,0,59709,0,0,0,0.0993,0.2651
"Libby, MT_RaceAsian",cz34502_RaceAsian,44406.0,77.89,0.0063,36442,0.2792,0.9021,0.7637,0.1787,0.1908
"Libby, MT_RaceBlack",cz34502_RaceBlack,0,77.89,0,36442,0,0,0,0.1787,0.1908
"Libby, MT_RaceWhite",cz34502_RaceWhite,45714.0,77.89,0.0058,36442,0.2853,0.9029,0.7739,0.1787,0.1908
"Libby, MT_RaceHispanic",cz34502_RaceHispanic,37841.0,77.89,0.0108,36442,0,0,0.7217,0.1787,0.1908
"Libby, MT_RaceNativeAmerican",cz34502_RaceNativeAmerican,48620.0,77.89,0,36442,0,0,0.7151,0.1787,0.1908
"Wheeling, OH & WV_RaceAsian",cz15600_RaceAsian,47753.0,80.37,0.0037,43734,0.3917,0.9061,0.8023,0.1606,0.1837
"Wheeling, OH & WV_RaceBlack",cz15600_RaceBlack,28559.0,80.37,0.0228,43734,0.1798,0.937,0.7809,0.1606,0.1837
"Wheeling, OH & WV_RaceWhite",cz15600_RaceWhite,49104.0,80.37,0.0035,43734,0.3936,0.9069,0.8103,0.1606,0.1837
"Wheeling, OH & WV_RaceHispanic",cz15600_RaceHispanic,37330.0,80.37,0.0,43734,0,0.7538,0.6818,0.1606,0.1837
"Wheeling, OH & WV_RaceNativeAmerican",cz15600_RaceNativeAmerican,0,80.37,0,43734,0,0,0,0.1606,0.1837
"Bluefield, VA & WV_RaceAsian",cz11201_RaceAsian,41212.0,80.47,0.0178,38073,0.3487,0.8983,0.7476,0.1885,0.1572
"Bluefield, VA & WV_RaceBlack",cz11201_RaceBlack,25030.0,80.47,0.0633,38073,0.3611,0.9164,0.7351,0.1885,0.1572
"Bluefield, VA & WV_RaceWhite",cz11201_RaceWhite,42497.0,80.47,0.0166,38073,0.3485,0.8976,0.7549,0.1885,0.1572
"Bluefield, VA & WV_RaceHispanic",cz11201_RaceHispanic,38035.0,80.47,0.0012,38073,0,0,0.7133,0.1885,0.1572
"Bluefield, VA & WV_RaceNativeAmerican",cz11201_RaceNativeAmerican,41245.0,80.47,0,38073,0,0,0.7979,0.1885,0.1572
