position,track name,artist,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre,explicit,popularity,year
159,"Hallelujah","Pentatonix",24498,0.285,0.297,"A",-9.259,"minor",0.0339,0.743,0.0,0.138,0.156,103.65299999999999,283529,4,"Rap","not explicit",60,2016
198,"A Lonely Night","The Weeknd",15429,0.853,0.6629999999999999,"G",-6.955,"minor",0.0755,0.0431,8.71e-06,0.0891,0.8640000000000001,113.99799999999999,220173,4,"RnB","not explicit",67,2016
193,"444+222","Lil Uzi Vert",19656,0.7909999999999999,0.513,"A♯",-6.568,"minor",0.26899999999999996,0.0235,2.8300000000000014e-05,0.10099999999999999,0.48100000000000004,76.997,247347,4,"RnB","explicit",62,2017
77,"Better Days","Hedley",39757,0.626,0.726,"F",-5.015,"major",0.0376,0.235,0.0,0.304,0.257,89.132,144530,4,"Hiphop","not explicit",76,2020
196,"Call Me","NAV",22713,0.426,0.975,"C",-1.892,"major",0.095,0.0017,0.0,0.0891,0.273,142.998,197627,4,"RnB","not explicit",49,2009
178,"A.D.H.D","Kendrick Lamar",177260,0.609,0.799,"A",-6.882999999999999,"major",0.24,0.33,0.0,0.10800000000000001,0.5820000000000001,157.74,215509,4,"Hiphop","explicit",70,2011
170,"Sixteen","Thomas Rhett",21153,0.669,0.8009999999999999,"G♯",-5.445,"major",0.136,0.268,0.0,0.0594,0.541,109.919,201072,4,"Underground Rap","not explicit",72,2019
35,"Shape of You","Ed Sheeran",143981,0.825,0.652,"C♯",-3.1830000000000003,"minor",0.0802,0.581,0.0,0.0931,0.9309999999999999,95.977,233713,4,"Pop","not explicit",72,2017
107,"Paper Planes","M.I.A.",34286,0.736,0.76,"D",-8.64,"major",0.184,0.139,0.0,0.6509999999999999,0.833,85.991,204000,4,"Hiphop","not explicit",0,2018
181,"Selfish","Future",20073,0.373,0.539,"C♯",-4.865,"major",0.086,0.166,0.0,0.139,0.075,77.006,196202,4,"Hiphop","explicit",72,2020
169,"Rap God","Eminem",21963,0.708,0.8490000000000001,"G",-2.6660000000000004,"major",0.324,0.38,0.0,0.8490000000000001,0.649,148.102,363973,4,"Hiphop","explicit",61,2013
193,"Cake By The Ocean","DNCE",40451,0.754,0.698,"A",-5.806,"minor",0.0619,0.0367,0.0,0.125,0.888,120.052,234920,4,"Pop","explicit",11,2020
152,"Icon","Jaden Smith",26058,0.424,0.34700000000000003,"A",-9.05,"major",0.03,0.0748,0.743,0.537,0.22399999999999998,126.286,326387,4,"Hiphop","not explicit",36,1979
46,"Pick It Up (feat. A$AP Rocky)","Famous Dex",59890,0.9209999999999999,0.467,"C♯",-8.443,"major",0.11900000000000001,0.0149,0.00023799999999999998,0.33399999999999996,0.287,135.995,191252,4,"RnB","explicit",68,2018
128,"BURN IT DOWN","Linkin Park",50147,0.345,0.9740000000000001,"D",-3.221,"minor",0.0607,0.0012,3.0299999999999998e-05,0.36200000000000004,0.5710000000000001,175.02700000000004,298813,4,"Emo","explicit",49,2005
198,"Ex Calling","6LACK",23602,0.773,0.564,"C♯",-7.2410000000000005,"major",0.249,0.00561,1.99e-05,0.213,0.0588,155.976,211960,4,"Rap","explicit",68,2016
187,"Do Not Disturb","Drake",20853,0.718,0.139,"D",-20.429000000000002,"major",0.11,0.887,2.44e-05,0.11900000000000001,0.731,112.825,113827,4,"Hiphop","not explicit",19,1965
111,"You & Me","Marshmello",281661,0.7140000000000001,0.6859999999999999,"B",-6.3329999999999975,"major",0.0445,0.203,7.76e-06,0.102,0.828,127.015,231653,4,"Dark Trap","not explicit",73,2019
45,"So Far Away","Martin Garrix",60073,0.5760000000000001,0.444,"D",-11.392000000000001,"major",0.0256,0.478,0.00020299999999999997,0.177,0.5720000000000001,140.018,260293,3,"Emo","not explicit",39,1996
102,"Rubbin Off The Paint","YBN Nahmir",32740,0.7340000000000001,0.7509999999999999,"C♯",-7.26,"major",0.285,0.0052899999999999996,0.0,0.183,0.56,161.997,159916,5,"Hiphop","explicit",68,2018
185,"Gospel","Rich Brian",21106,0.6809999999999999,0.659,"A",-6.405,"major",0.268,0.0008560000000000001,8.17e-06,0.11,0.225,156.004,173294,4,"Hiphop","explicit",68,2017
197,"Everybody","Logic",19630,0.742,0.636,"B",-6.744,"major",0.0331,0.446,0.0,0.0817,0.48,95.00200000000001,208427,4,"Rap","not explicit",52,2009
150,"iSpy (feat. Lil Yachty)","KYLE",26138,0.723,0.654,"C",-6.82,"major",0.298,0.384,0.0,0.384,0.675,149.94899999999996,252240,4,"Rap","explicit",69,2018
68,"Location","Khalid",41852,0.7170000000000001,0.79,"B",-4.213,"major",0.2,0.33,0.000125,0.518,0.371,125.985,168784,4,"RnB","explicit",75,2017
110,"Attention","Charlie Puth",62941,0.787,0.312,"G",-12.401,"major",0.0383,0.895,0.0224,0.115,0.425,119.899,128888,4,"Pop","explicit",69,2018
27,"Wolves","Selena Gomez",171691,0.746,0.336,"D",-9.777999999999999,"major",0.0502,0.846,0.000745,0.0819,0.341,123.178,112000,4,"Hiphop","not explicit",0,2019
138,"Love","Lana Del Rey",41236,0.703,0.763,"B",-9.815,"minor",0.0991,0.0979,0.91,0.179,0.759,93.01100000000001,321107,4,"Hiphop","not explicit",0,2000
21,"3 A.M.","Jesse & Joy",189512,0.75,0.831,"E",-2.6010000000000004,"minor",0.397,0.0603,0.0,0.0576,0.731,76.439,319853,4,"Underground Rap","explicit",52,2009
192,"Umbrella","Rihanna",17947,0.634,0.7709999999999999,"C♯",-6.232,"major",0.265,0.0925,0.0,0.0535,0.649,173.921,252000,4,"Hiphop","not explicit",0,2010
180,"0 To 100 / The Catch Up","Drake",19389,0.5589999999999999,0.716,"B",-3.964,"minor",0.39,0.737,0.0,0.252,0.504,176.618,275227,4,"Rap","explicit",71,2013
194,"The Last Of The Real Ones","Fall Out Boy",20991,0.5760000000000001,0.872,"G♯",-5.292999999999998,"major",0.0471,0.00599,0.0,0.188,0.5589999999999999,115.042,230400,4,"Emo","not explicit",62,2018
198,"Revenge","XXXTENTACION",20537,0.0635,0.109,"A",-19.9,"major",0.0322,0.867,0.9309999999999999,0.111,0.166,61.332,81267,4,"Hiphop","not explicit",11,1960
130,"Trumpets","Sak Noel & Salvi",42742,0.635,0.691,"C",-4.862,"major",0.258,0.555,0.0,0.09699999999999999,0.638,82.14200000000002,217419,4,"RnB","not explicit",65,2013
80,"That's What I Like","Bruno Mars",73996,0.547,0.289,"F",-11.385,"major",0.0274,0.902,1.96e-06,0.285,0.446,74.95,158520,4,"Pop","not explicit",18,1964
187,"Just Like You","Louis Tomlinson",21839,0.555,0.97,"D",-2.036,"major",0.0787,0.00221,0.0,0.122,0.677,112.564,212612,4,"Emo","not explicit",56,2015
194,"Teenage Fever","Drake",19291,0.7659999999999999,0.28300000000000003,"G♯",-10.33,"minor",0.0846,0.111,0.0172,0.115,0.14400000000000002,97.04,219692,4,"Hiphop","explicit",75,2017
187,"Say My Name","Destiny's Child",18285,0.632,0.631,"F",-3.801,"minor",0.13,0.311,0.0,0.142,0.684,68.88,268027,4,"Hiphop","not explicit",45,2000
158,"'Till I Collapse","Eminem",25863,0.5589999999999999,0.84,"C♯",-3.264,"major",0.23600000000000002,0.0706,0.0,0.0967,0.113,171.31099999999995,297907,4,"Hiphop","not explicit",47,2002
97,"Rich Girl","Daryl Hall & John Oates",35826,0.473,0.966,"F",-4.662,"major",0.0679,0.0683,0.0,0.107,0.486,98.835,125880,4,"Pop","not explicit",48,2008
44,"Gucci Gang","Lil Pump",130671,0.9359999999999999,0.523,"F",-6.71,"major",0.0597,0.239,0.0,0.11699999999999999,0.6990000000000001,119.889,124056,4,"Hiphop","explicit",69,2017
168,"Trap Queen","Fetty Wap",17585,0.746,0.873,"G",-3.803,"major",0.128,0.0244,0.0,0.354,0.8170000000000001,148.075,222093,4,"Hiphop","explicit",73,2015
15,"I Fall Apart","Post Malone",92127,0.36200000000000004,0.614,"G",-13.297,"minor",0.0961,0.107,0.0012,0.12300000000000001,0.664,79.432,312400,4,"Hiphop","not explicit",50,1971
200,"pick up the phone","Young Thug",17954,0.517,0.929,"F♯",-6.0310000000000015,"minor",0.11800000000000001,0.00449,0.000492,0.307,0.7659999999999999,152.1,195213,4,"Rap","not explicit",40,1983
175,"By Your Side","Jonas Blue",38982,0.589,0.7609999999999999,"C♯",-5.615,"minor",0.0316,0.303,0.0,0.218,0.22399999999999998,127.984,228250,4,"Dark Trap","not explicit",1,2020
159,"Can I Be Him","James Arthur",21122,0.696,0.5429999999999999,"B",-6.164,"major",0.0489,0.308,0.0,0.0939,0.479,107.969,246880,4,"Emo","not explicit",78,2016
157,"Toxic","Britney Spears",26739,0.843,0.546,"D",-6.376,"major",0.0678,0.0535,0.0,0.203,0.718,126.098,162759,4,"Pop","explicit",63,2021
197,"Let Her Go","Passenger",18158,0.594,0.6629999999999999,"F♯",-7.587999999999999,"major",0.0292,0.00512,0.12300000000000001,0.162,0.8059999999999999,111.12299999999999,182607,4,"Hiphop","not explicit",55,2014
199,"Down","Fifth Harmony",40129,0.509,0.929,"G",-4.997,"major",0.0474,0.000148,0.107,0.0461,0.556,91.04299999999999,209427,4,"RnB","not explicit",44,2003
197,"Without Me","Eminem",20022,0.611,0.868,"C",-3.995,"minor",0.0645,0.0146,0.0,0.122,0.48,135.947,229412,4,"Hiphop","not explicit",65,2019
197,"LUV","Tory Lanez",17788,0.542,0.528,"B",-8.113,"minor",0.243,0.0108,0.0,0.11699999999999999,0.253,190.42,228640,4,"Underground Rap","explicit",12,2021
190,"Chanel","Frank Ocean",19197,0.7759999999999999,0.503,"C",-5.732,"minor",0.237,0.8740000000000001,0.0,0.11199999999999999,0.473,110.134,210285,4,"Hiphop","explicit",81,2017
190,"DNA","BTS",36547,0.599,0.774,"C♯",-4.013999999999999,"minor",0.0541,0.0223,0.0,0.0669,0.696,129.819,223123,4,"Hiphop","not explicit",73,2018
198,"Seven Million (feat. Future)","Lil Uzi Vert",128117,0.8859999999999999,0.629,"C♯",-4.404,"minor",0.306,0.051,7.66e-06,0.121,0.48700000000000004,158.002,182491,4,"Underground Rap","explicit",62,2016
186,"DUCKWORTH.","Kendrick Lamar",20037,0.552,0.731,"G",-6.8729999999999976,"major",0.615,0.0536,0.0,0.258,0.632,174.516,248613,4,"Rap","explicit",64,2017
190,"Bust Down","Trippie Redd",19641,0.722,0.821,"D",-4.167,"major",0.172,0.337,2.12e-05,0.15,0.659,73.015,245229,4,"Rap","explicit",60,2017
196,"Green Light","Lorde",36217,0.872,0.434,"C♯",-11.737,"major",0.733,0.0663,0.0,0.096,0.292,82.97399999999998,121522,4,"Hiphop","explicit",64,2019
188,"Take Me To Church","Hozier",18941,0.575,0.664,"E",-5.303,"minor",0.0481,0.637,0.0,0.11599999999999999,0.4370000000000001,129.07,241693,4,"Pop","not explicit",67,2014
198,"No Option","Post Malone",20409,0.575,0.7340000000000001,"D",-4.949,"major",0.057,0.0757,0.0,0.24100000000000002,0.494,83.986,179827,4,"Rap","explicit",70,2016
179,"Damage","PARTYNEXTDOOR",22157,0.7090000000000001,0.5489999999999999,"B",-10.805,"major",0.613,0.0339,0.121,0.128,0.662,98.45700000000001,167867,4,"Hiphop","explicit",35,1995
59,"All Falls Down","Alan Walker",48658,0.6579999999999999,0.6779999999999999,"C♯",-4.407,"major",0.057999999999999996,0.303,0.0,0.361,0.662,97.976,199111,4,"Hiphop","not explicit",37,2017
160,"Wicked","Future",164503,0.718,0.679,"B",-5.899,"minor",0.0706,0.0019100000000000002,0.0104,0.385,0.205,157.97,173347,4,"Hiphop","explicit",59,2016
196,"Runaway","Linkin Park",23142,0.4320000000000001,0.625,"D♯",-6.773,"minor",0.201,0.298,1.34e-05,0.156,0.43799999999999994,74.815,164522,3,"Hiphop","not explicit",0,2021
149,"Best Of Me","BTS",43180,0.742,0.728,"A♯",-6.626,"minor",0.0315,0.00962,3.73e-05,0.134,0.6970000000000001,96.01,226373,4,"RnB","not explicit",58,2011
47,"Stir Fry","Migos",58848,0.8170000000000001,0.816,"D",-5.402,"major",0.26899999999999996,0.00263,0.0,0.159,0.508,181.982,190288,4,"RnB","explicit",71,2018
197,"All The Way Up","Fat Joe",17744,0.536,0.721,"A♯",-6.44,"minor",0.386,0.062,0.0,0.8240000000000001,0.39299999999999996,117.139,191942,4,"Hiphop","explicit",68,2016
189,"No Role Modelz","J. Cole",22921,0.6920000000000001,0.521,"A♯",-8.465,"minor",0.33,0.301,0.0,0.0565,0.46299999999999997,100.45,292987,4,"Hiphop","explicit",28,2018
197,"ELEMENT.","Kendrick Lamar",20943,0.748,0.705,"E",-4.547,"minor",0.485,0.204,0.0,0.24600000000000002,0.483,189.891,208733,4,"Hiphop","explicit",70,2017
86,"Danger (with Migos & Marshmello)","Migos",36793,0.8140000000000001,0.743,"A",-2.968,"major",0.159,0.152,0.0,0.163,0.3670000000000001,107.99600000000001,214587,4,"RnB","explicit",70,2017
150,"Never Forget You","Zara Larsson",18915,0.525,0.5329999999999999,"D",-7.419,"major",0.0289,0.2,0.0,0.198,0.268,149.923,225707,4,"Emo","not explicit",42,1993
193,"Dark Horse","Katy Perry",35637,0.647,0.585,"F♯",-6.1229999999999976,"major",0.0512,0.00314,0.0,0.165,0.353,131.934,215672,4,"Pop","not explicit",71,2013
71,"The Other Side","Hugh Jackman",77927,0.6990000000000001,0.547,"G",-5.716,"major",0.0636,0.17300000000000001,0.0,0.0969,0.705,105.93700000000001,189057,4,"Trap Metal","not explicit",5,2020
188,"Company","Justin Bieber",33605,0.6509999999999999,0.55,"G",-8.215,"major",0.0496,0.0403,0.0,0.165,0.11900000000000001,107.56700000000001,252640,4,"Dark Trap","explicit",60,2015
189,"November","Tyler, The Creator",167538,0.547,0.759,"C♯",-7.039,"minor",0.413,0.354,2.15e-05,0.6759999999999999,0.575,91.85,225347,4,"Hiphop","explicit",62,2017
192,"beibs in the trap","Travis Scott",22254,0.743,0.5710000000000001,"G",-6.053999999999999,"minor",0.145,0.24,0.0,0.29100000000000004,0.495,119.054,213863,4,"Hiphop","explicit",72,2016
190,"I Write Sins Not Tragedies","Panic! At The Disco",188913,0.569,0.77,"A",-7.183,"minor",0.0539,0.0163,0.0,0.10300000000000001,0.858,170.012,187000,4,"Emo","not explicit",0,2020
198,"Kiss","Prince",166716,0.34600000000000003,0.769,"E",-7.224,"major",0.109,0.00829,0.0,0.0815,0.163,150.589,250267,4,"Underground Rap","explicit",69,2017
182,"Again","Noah Cyrus",20239,0.49,0.8909999999999999,"A",-3.1010000000000004,"major",0.0646,0.00758,0.0,0.162,0.306,126.223,183026,4,"Dark Trap","not explicit",0,2018
171,"Foreign","Lil Pump",222020,0.762,0.705,"F♯",-5.195,"minor",0.16399999999999998,0.0906,0.0,0.17,0.264,122.955,142893,4,"Rap","explicit",67,2018
190,"The Brightside","Lil Peep",22187,0.6459999999999999,0.64,"D♯",-6.522,"minor",0.0424,0.0348,0.0,0.10800000000000001,0.882,134.03,216041,4,"Hiphop","explicit",71,2017
197,"A Thousand Years","Christina Perri",37290,0.778,0.9590000000000001,"G",-4.29,"minor",0.1,0.000334,0.561,0.299,0.9620000000000001,140.02700000000002,202286,3,"Emo","not explicit",0,2017
51,"Wanted You (feat. Lil Uzi Vert)","NAV",54127,0.797,0.731,"A",-4.4430000000000005,"minor",0.0479,0.22899999999999998,0.0,0.22399999999999998,0.623,146.93,228387,4,"RnB","explicit",66,2018
191,"Disturbia","Rihanna",21769,0.818,0.654,"B",-8.818999999999997,"minor",0.0301,0.0124,4.3e-05,0.11699999999999999,0.961,124.985,239305,4,"RnB","not explicit",0,2018
196,"Secrets","The Weeknd",16863,0.6829999999999999,0.805,"D",-10.270999999999999,"major",0.0348,0.0238,0.18899999999999997,0.0502,0.938,138.349,172213,4,"RnB","not explicit",23,1985
179,"In My Feelings","Lana Del Rey",175992,0.835,0.626,"C♯",-5.8329999999999975,"major",0.125,0.0589,5.9999999999999995e-05,0.396,0.35,91.03,217925,4,"Pop","explicit",78,2018
49,"Butterfly Effect","Travis Scott",55739,0.763,0.628,"B",-5.85,"major",0.05,0.0531,0.0,0.114,0.193,140.958,190557,4,"Hiphop","not explicit",80,2018
197,"All On Me","Devin Dawson",184519,0.634,0.6679999999999999,"F",-5.4879999999999995,"major",0.0291,0.14,0.0,0.21600000000000005,0.635,80.98899999999998,224627,4,"Underground Rap","not explicit",64,2018
163,"Waterfall","Stargate",44422,0.6609999999999999,0.8,"F♯",-9.244,"major",0.0359,0.0897,0.000152,0.0535,0.879,119.15899999999999,301907,4,"Dark Trap","not explicit",26,1987
195,"Antidote","Travis Scott",16437,0.713,0.526,"C♯",-5.046,"major",0.032,0.0076700000000000015,0.000148,0.124,0.131,131.05,262693,4,"Hiphop","explicit",76,2015
185,"Losin Control","Russ",22958,0.759,0.245,"F♯",-6.545,"major",0.138,0.515,0.000154,0.102,0.209,96.992,237507,4,"Hiphop","explicit",59,2016
196,"Everlong","Foo Fighters",16093,0.415,0.867,"B",-5.497000000000001,"minor",0.0387,5.6899999999999994e-05,0.000192,0.0883,0.36,157.90200000000004,249987,4,"Emo","not explicit",57,2009
189,"You Was Right","Lil Uzi Vert",19800,0.843,0.359,"C",-7.4170000000000025,"major",0.461,0.069,0.0,0.12,0.156,81.98700000000002,163944,4,"Rap","explicit",70,2016
114,"Congratulations","Post Malone",62103,0.33299999999999996,0.8590000000000001,"F♯",-2.286,"major",0.14800000000000002,0.0185,0.0,0.22,0.125,86.882,332530,4,"Hiphop","explicit",48,2009
190,"I Will Wait","Mumford & Sons",21105,0.45399999999999996,0.893,"A",-5.431,"major",0.0394,0.0121,0.0,0.10300000000000001,0.32899999999999996,124.429,258360,4,"Emo","not explicit",38,1998
189,"Uber Everywhere","MadeinTYO",131641,0.779,0.455,"C♯",-15.025,"major",0.28,0.0542,0.0,0.177,0.19699999999999998,140.181,153429,4,"Rap","explicit",60,2016
58,"Never Enough","Loren Allred",93147,0.507,0.988,"G",-3.877,"major",0.133,0.0658,0.006,0.33299999999999996,0.48200000000000004,100.74700000000001,268200,4,"Hiphop","not explicit",26,1990
138,"Let You Down","NF",54926,0.723,0.303,"B",-14.889000000000001,"minor",0.0473,0.7879999999999999,0.00704,0.0713,0.628,87.07799999999996,247400,4,"Pop","not explicit",38,1996
