position,streams,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,year,2,3,4,5,6,7,8,9
199.0,18064.0,0.431,0.861,-5.4239999999999995,0.0474,8.05e-05,0.322,0.0957,0.364,172.092,252667.0,4.0,38.0,2002.0,0,2,3,3,3,4,5,8
190.0,18606.0,0.389,0.665,-6.169,0.0644,0.17800000000000002,0.000732,0.11599999999999999,0.19899999999999998,117.055,193547.0,4.0,76.0,2015.0,0,1,0,2,2,6,3,5
192.0,40353.0,0.623,0.7340000000000001,-5.9479999999999995,0.107,0.0162,1.75e-06,0.145,0.37,107.853,244453.0,4.0,75.0,2016.0,0,1,0,2,2,6,3,5
159.0,191846.0,0.716,0.531,-7.355,0.122,0.0703,0.0,0.22399999999999998,0.344,71.994,386907.0,4.0,62.0,2012.0,0,1,2,2,2,5,2,6
98.0,33443.0,0.8390000000000001,0.81,-5.274,0.0568,0.501,0.0,0.11699999999999999,0.8140000000000001,129.014,209269.0,4.0,75.0,2017.0,0,1,2,4,0,3,6,3
143.0,48171.0,0.308,0.769,-7.256,0.065,0.0331,0.0,0.214,0.488,81.85300000000002,254880.0,4.0,58.0,2014.0,0,1,0,2,1,4,5,8
191.0,32748.0,0.872,0.622,-9.276,0.498,0.0179,0.0,0.204,0.8009999999999999,95.65799999999999,254960.0,4.0,39.0,1997.0,0,2,0,3,1,4,4,4
170.0,25111.0,0.76,0.569,-7.518,0.102,0.0522,0.0,0.10400000000000001,0.446,102.98200000000001,205080.0,4.0,20.0,2019.0,0,2,3,3,3,1,0,2
164.0,20534.0,0.6779999999999999,0.562,-9.197000000000001,0.508,0.193,0.0,0.10400000000000001,0.5660000000000001,94.241,307880.0,4.0,62.0,2017.0,0,1,0,2,2,6,4,4
199.0,150234.0,0.846,0.542,-11.024000000000001,0.0358,0.223,0.0,0.0259,0.898,102.57700000000001,300773.0,4.0,33.0,1989.0,0,2,3,3,3,1,0,0
162.0,20547.0,0.212,0.985,-2.8560000000000003,0.106,0.000281,3.34e-06,0.0866,0.237,156.389,297240.0,4.0,52.0,2011.0,0,1,0,2,2,4,5,8
194.0,19662.0,0.812,0.522,-5.287000000000001,0.257,0.0433,0.0,0.154,0.38,75.524,142907.0,4.0,63.0,2017.0,0,1,0,2,2,6,3,5
175.0,36684.0,0.358,0.557,-7.398,0.059000000000000004,0.695,0.0,0.0902,0.494,85.04299999999998,211467.0,4.0,86.0,2016.0,1,0,1,1,4,0,7,1
185.0,22267.0,0.721,0.924,-8.282,0.0396,0.000683,0.003820000000000001,0.0817,0.6940000000000001,130.947,244133.0,4.0,51.0,1995.0,0,2,0,3,1,4,4,4
113.0,31137.0,0.703,0.757,-3.612,0.05,0.617,0.0,0.106,0.696,82.008,221747.0,4.0,77.0,2017.0,0,1,2,4,0,3,6,3
110.0,31864.0,0.675,0.562,-7.678,0.0352,0.233,0.0,0.0816,0.309,130.09799999999998,256533.0,4.0,77.0,2016.0,0,1,2,4,0,3,6,3
159.0,24498.0,0.285,0.297,-9.259,0.0339,0.743,0.0,0.138,0.156,103.65299999999999,283529.0,4.0,60.0,2016.0,1,0,1,1,4,0,7,1
198.0,15429.0,0.853,0.6629999999999999,-6.955,0.0755,0.0431,8.71e-06,0.0891,0.8640000000000001,113.99799999999999,220173.0,4.0,67.0,2016.0,0,1,0,2,1,4,4,4
193.0,19656.0,0.7909999999999999,0.513,-6.568,0.26899999999999996,0.0235,2.8300000000000014e-05,0.10099999999999999,0.48100000000000004,76.997,247347.0,4.0,62.0,2017.0,0,1,0,2,2,6,3,5
77.0,39757.0,0.626,0.726,-5.015,0.0376,0.235,0.0,0.304,0.257,89.132,144530.0,4.0,76.0,2020.0,0,1,2,4,0,3,6,3
196.0,22713.0,0.426,0.975,-1.892,0.095,0.0017,0.0,0.0891,0.273,142.998,197627.0,4.0,49.0,2009.0,0,1,0,2,2,4,5,8
178.0,177260.0,0.609,0.799,-6.882999999999999,0.24,0.33,0.0,0.10800000000000001,0.5820000000000001,157.74,215509.0,4.0,70.0,2011.0,0,1,2,2,1,5,2,6
